id,title,snippet,price,originalPrice,imagelink,videolink,afflink,singlelink,badge,sold,rating,date,category
1,Batik Slimfit Motif Bhavana Green dari Arkana batik,"Batik slimfit with Bhavana green motif, premium fabric feel, elegant batik pria.",264000,274500,https://down-id.img.susercontent.com/file/id-11134207-82250-mj3kec4qt9mte7@resize_w1200_nl.webp,,https://s.shopee.co.id/70EPMnH67k,,Sale,90,"4,6",2/1/2026,Batik Pria
2,Batik Slimfit Motif Truntum Beras Wutah dari Adhinatha batik,"Batik slimfit featuring Adhinatha tambalan truntum motif, rich traditional batik pria.",205000,220000,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lpow16e982mdb2.webp,,https://s.shopee.co.id/8AKBAufsxc,,Hot,2.400,"4,8",2/2/2026,Batik Pria
3,Batik Slimfit Motif Dusty pink dari Jaka Jaya batik,"Batik slimfit Dusty pink with long sleeves, refined modern style lengan panjang batik pria",204000,400000,https://down-id.img.susercontent.com/file/id-11134207-8224s-mhw0qvi4q1vm3c.webp,https://down-tx-sg.vod.susercontent.com/api/v4/11110105/mms/id-11110105-6knao-m669u2mlo1aw41.16000081739413479.mp4,https://s.shopee.co.id/3LL6ys7kS2,,New,226,"4,8",2/3/2026,Batik Pria
4,Batik Slimfit Motif Barra Merah Marun Burgundy dari Elegan batik,"Batik slimfit premium cotton batik merah maroon burgundy, cool, and comfortable for batik pria.",129500,224600,https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m99irobv4jtq9d.webp,https://down-tx-id.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://s.shopee.co.id/3VYLd2FxbN,https://www.ceklinkdibio.com/batik-pria-slimfit-elegan-merah-maroon.html,Sale,597,"4,9",2/3/2026,Batik Pria
5,Batik Slimfit Motif Nismara dari Askar batik,Batik slimfit Motif Nismara Lengan Panjang Full Furing Warna Kuning Keemasan batik pria,165200,290000,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/9fec80d5d4fa46219ae811d64c8ca4e1~tplv-aphluv4xwc-resize-webp:800:800.webp?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393,,https://vt.tokopedia.com/t/ZS91cuD9hNT1y-B04ot/,https://www.ceklinkdibio.com/batik-pria-slimfit-nismara-by-askar.html,New,2.400,"4,8",2/4/2026,Batik Pria
6,Batik Slimfit Motif Gandhi Biru dari Seno Joyo batik,Batik slimfit Motif gandhi biru lengan panjang lapis furing cuttingan slimfit bahan katun halus,182000,320000,https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mcc3jeip5svvcd.webp,https://down-ws-sg.vod.susercontent.com/api/v4/11110105/mms/id-11110105-6ko2k-mdpp7vjlb5hq6f.16000041755844178.mp4,https://s.shopee.co.id/5VPbjiMUd9,https://www.ceklinkdibio.com/batik-pria-slimfit-gandhi-biru.html,Hot,165,"4,7",2/5/2026,Batik Pria
7,Batik Slimfit Motif akar coklat dari Griyo Seno batik,"Batik Slimfit motif akar coklat dari BATIK GRIYO SENO solo jawa tengah Jahitan Butik Rapi, Awet & Kuat",175000,255000,https://down-id.img.susercontent.com/file/id-11134207-8224x-mgvplej32juw53.webp,,https://s.shopee.co.id/4AuEqHSW1L,,Hot,6,"5,0",2/5/2026,Batik Pria
8,Batik Slimfit Motif Vistara kemeja pria dari Arkana batik,Batik slimfit Motif Vistara dari Arkana Batik kemeja pria lengan panjang,216000,220000,https://blogger.googleusercontent.com/img/a/AVvXsEhIUVHSLyzxmYSU25SX4JNjb17yivSSDlsWZmXYbicNqYSMhyIkZKGtEvVGq3jYbyDB5m_px7kxFqvt9VWtXwkGDLGOiuDYekX8gUns2xOKdEi8ITc5d54Wj978FheG4WxfnlKJzqwOALO91568OfBuf-TEP4-UUAjy1PC8H8SkDqPtNSYWr27XQYPMfj3d=s1024,https://down-ws-sg.vod.susercontent.com/api/v4/11110107/mms/id-11110107-6knap-m7iv3n58q3hc1a.16003251742371027.mp4,https://s.shopee.co.id/3B1hf4Td7w,,New,2.250,"4,6",05/02/2026,Batik Pria
9,Kain Batik Lampung bahan Sieger Sanwos Foil Lembut Adem,Kain Batik Lampung bahan dari Sieger Sanwos Foil Lembut Adem,18900,124900,,,https://s.shopee.co.id/qdzzyhBkl,,New,568,"4,8",06/02/2026,Bahan batik




