id,title,snippet,price,originalPrice,imagelink,videolink,singlepageurl,badge,sold,rating,date,category
1,"Batik Slimfit Motif Vistara kemeja pria dari Arkana batik","Batik slimfit Motif Vistara dari Arkana Batik kemeja pria lengan panjang",Rp 216.000,Rp 220.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://s.shopee.id/viral1,Best Seller,1500,4.8,2024-01-15,Fashion
2,"Batik Slimfit Motif Nismara dari Askar batik","Batik slimfit Motif Nismara Lengan Panjang Full Furing Warna Kuning Keemasan batik pria",Rp 194.200,Rp 290.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://s.shopee.id/electronics2,Promo,800,4.5,2024-01-14,Fashion
3,"Batik Slimfit Motif Dusty pink dari Jaka Jaya batik","Batik slimfit Dusty pink with long sleeves, refined modern style lengan panjang batik pria",Rp 204.000,Rp 400.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://s.shopee.id/beauty3,Hot,2000,4.9,2024-01-13,Fashion
4,"Batik Slimfit Motif Barra Merah Marun Burgundy dari Elegan batik","Batik slimfit premium cotton batik merah maroon burgundy, cool, and comfortable for batik pria.",Rp 129.500,Rp 224.600,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://s.shopee.id/fashion4,New,500,4.6,2024-01-12,Fashion
5,"Alat Dapur Multifungsi Stainless Steel Premium","Alat dapur multifungsi stainless steel anti karat, tahan lama dan mudah dibersihkan untuk kebutuhan dapur modern.",Rp 45.000,Rp 89.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://s.shopee.id/home5,Discount,1200,4.7,2024-01-11,Home
6,"HP Accessories Keren Case Premium Anti Crack","Case HP premium anti crack dengan desain keren, material TPU berkualitas tinggi, melindungi HP dari benturan.",Rp 30.000,Rp 65.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://s.shopee.id/tech6,Trending,3000,4.8,2024-01-10,Tech
7,"Mukena Cantik 2024 Bahan Katun Premium Adem","Mukena cantik bahan katun premium, adem dan nyaman dipakai sholat. Motif elegan cocok untuk hadiah.",Rp 95.000,Rp 180.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://s.shopee.id/mukena7,Popular,2500,4.9,2024-01-09,Fashion
8,"Sepatu Sneakers Murah Pria Wanita Sport Casual","Sepatu sneakers sport casual unisex, ringan dan nyaman untuk aktivitas sehari-hari. Tersedia berbagai warna.",Rp 150.000,Rp 299.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2r-mbgjknzkq3br55.16000051750931630.mp4,https://s.shopee.id/sepatu8,Best Seller,5000,4.7,2024-01-08,Fashion
9,"Kamera Pocket Digital 2024 HD 48MP Vlogging","Kamera pocket digital HD 48MP, cocok untuk vlogging dan fotografi sehari-hari. Compact dan mudah dibawa.",Rp 299.000,Rp 550.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6ko2q-mcak12nk39l3ba.16000051752748191.mp4,https://s.shopee.id/kamera9,New,400,4.6,2024-01-07,Electronics
10,"Lipstik Terlaris Matte Waterproof Long Lasting","Lipstik matte waterproof tahan lama seharian, warna pigmented dan tidak transfer. Aman untuk bibir sensitif.",Rp 45.000,Rp 95.000,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/id-11110103-6vdv5-mi7g69524vsxeb.16000041765635543.mp4,https://s.shopee.id/lipstik10,Hot,6000,4.9,2024-01-06,Beauty
